pl_bmasse	pl_rade	pl_eqt	pl_orbper	st_teff	st_mass	st_met	Stellar_Compatibility_Index
-0.142035099	-0.036321704	-0.127045165	-0.005490963	1.070409168	1.287873113	0.312851122	1.070409168
-0.142035099	-0.034313827	-0.127045165	-0.005494651	0.436236638	0.449056844	0.805085466	0.436236638
-0.142035099	-0.023755745	-0.127045165	-0.005490061	0.302516048	0.133661928	0.362627629	0.302516048
-0.142035099	-0.017916172	1.82034706	-0.005495112	0.203541754	-0.188443519	0.064521661	0.203541754
-0.142035099	-0.029628783	-0.709866852	-0.005481878	0.50467631	-0.054232917	-1.35189649	0.50467631
-0.142035099	-0.024943739	-0.769196006	-0.005478962	0.773170408	0.536293736	-0.024522979	0.773170408
-0.142035099	-0.036321704	-0.127045165	-0.005492355	-0.979938113	-0.758838582	0.064521661	-0.979938113
-0.405866559	0.053380163	-0.127045165	-0.005449556	0.144578344	0.494688449	0.064521661	0.144578344
-0.142035099	-0.028959491	0.696583088	-0.005491758	0.594174343	0.529583206	-0.688209735	0.594174343
-0.142035099	-0.06777843	-0.305032626	-0.005496061	-2.189740929	-2.235155214	-0.466980816	-2.189740929
-0.142035099	-0.035766136	1.928012024	-0.005495968	-0.737766966	0.045203719	0.064521661	-0.737766966
-0.142035099	-0.036321704	-0.127045165	-0.005475382	-0.510336671	-0.389759424	0.064521661	-0.510336671
2.024764932	-0.036321704	-0.127045165	-0.005021226	-0.62826349	2.797742396	-1.40720372	-0.62826349
-0.142035099	-0.046026438	1.900615915	-0.005494479	0.594174343	0.529583206	-0.688209735	0.594174343
-0.410738832	-0.043432932	-0.127045165	-0.005496104	-0.319758507	-0.138114543	2.021844518	-0.319758507
-0.142035099	-0.042679978	-0.168924568	-0.005488765	0.901626408	0.318201507	-1.904968787	0.901626408
-0.142035099	-0.017748849	-0.954163368	-0.005476763	0.57943349	-0.074364507	-1.904968787	0.57943349
-0.142035099	-0.043516593	-0.127045165	-0.005490545	-1.027319424	-0.792391233	-0.909438653	-1.027319424
-0.142035099	-0.033979181	-0.699397002	-0.00547883	0.634185228	0.197411964	-0.798824194	0.634185228
-0.142035099	-0.036321704	-0.127045165	-0.005494465	-0.918331879	-0.728641196	-1.371254021	-0.918331879
-0.142035099	-0.061252832	3.104648742	-0.005495303	0.734212441	1.086557208	1.026314384	0.734212441
-0.142035099	-0.02946146	-0.127045165	-0.005491382	0.85213926	0.045203719	0.064521661	0.85213926
